,C 1 Comdty,CL1 Comdty,GC1 Comdty,HG1 Comdty,NG1 Comdty,S 1 Comdty,SI1 Comdty
2023-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-17,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
2023-01-18,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
2023-01-19,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
2023-01-20,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
2023-01-23,-0.0,-1105.1027644670999,0.0,10148.837051717099,0.0,-10333.4905703241,-0.0
2023-01-24,0.0,-9684.911245126052,0.0,3529.66967152245,-0.0,-1854.5396084037002,0.0
2023-01-25,-0.0,130.00212897893923,0.0,1764.87991167825,-0.0,14836.69580387355,0.0
2023-01-26,0.0,5588.5924218447,-0.0,-10145.33803366875,-0.0,22249.075453701753,0.0
2023-01-27,0.0,-8643.9271702446,-0.0,19852.1099340246,0.0,-14834.611652343301,-0.0
2023-01-30,0.0,-25495.3852801047,-0.0,9050.32287105435,-0.0,27304.953012559352,0.0
2023-01-31,-0.0,12625.9879894677,0.0,-10602.5317896339,0.0,2917.9982266524,0.0
2023-02-01,0.0,-32029.94004371235,-0.0,50818.70138368275,-0.0,-18839.87722178145,-0.0
2023-02-02,-0.0,-6902.16725577375,-0.0,8839.83805992405,-0.0,14862.65296383495,0.0
2023-02-03,0.0,-32435.43074057025,-0.0,15252.60845120085,-0.0,-2389.2496602192,-0.0
2023-02-06,0.0,9378.6806692098,0.0,9505.00646189775,-24981.83411543415,-11415.01296295125,-0.0
2023-02-07,-0.0,39481.19019297765,0.0,-20121.655465250547,-90677.25239358826,-6373.200043557,-0.0
2023-02-08,0.0,17332.45619213925,0.0,19903.327444583098,134249.705847036,4780.56993851655,0.0
2023-02-09,-0.0,-5343.08799908025,-0.0,-27201.21417426375,-24279.20212127265,-531.174437613,-0.0
2023-02-10,0.0,21632.9904353016,0.0,35604.8413175322,-59983.9111231434,23220.72052187355,0.0
2023-02-13,0.0,2867.0593522891504,-0.0,16365.166597216801,-172098.8897594931,-4270.53173972715,-0.0
2023-02-14,-0.0,0.0,0.0,8152.54872437655,115686.2045852883,6405.8792131476,0.0
2023-02-15,-0.0,-0.0,-0.0,-30618.94925677725,-68536.44840499245,11207.2896922941,-0.0
2023-02-16,0.0,-0.0,0.0,44063.339953436094,-58551.247052393854,-1868.1910288686,0.0
2023-02-17,0.0,-0.0,0.0,-7266.5607729735,-81356.9578884648,-1066.96650588435,0.0
2023-02-20,5858.5300244739,11250.2102902956,0.0,3298.4350430283002,124005.4590936537,443.9573507753782,0.0
2023-02-21,6399.7711204707,1172.1259035234002,-0.0,-23560.67213954145,72077.57247054914,-15470.619918129001,0.0
2023-02-22,-13335.7457850993,15655.75153041555,-0.0,5946.5046867867,-36046.59598652355,6580.88484112035,-0.0
2023-02-23,-32007.4214799762,-9354.950817196052,-0.0,28412.52629197815,-49968.125747598155,5336.124585737401,-0.0
2023-02-24,-21342.631908617102,-6042.970993194,-0.0,22690.59632403795,-48907.3504781808,5693.0268087063005,-0.0
2023-02-27,2133.0394940583,4156.21932568335,0.0,9687.51267528465,20592.0521326035,-7823.4236663445,-0.0
2023-02-28,-0.0,-8903.031840773101,0.0,17295.30161003295,10989.98837393535,-36030.316453912805,0.0
2023-03-01,0.0,-4159.18653988815,0.0,15533.11887042195,43961.073580169104,16280.78003058915,0.0
2023-03-02,-0.0,-3054.4415268007497,-0.0,-18507.781665092698,-31597.42416608745,16014.086006193449,-0.0
