,C 1 Comdty,CL1 Comdty,GC1 Comdty,HG1 Comdty,NG1 Comdty,S 1 Comdty,SI1 Comdty
2023-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-23,0.0,1.0,0.0,-2.0,0.0,3.0,0.0
2023-01-24,0.0,1.0,0.0,-2.0,0.0,3.0,0.0
2023-01-25,0.0,1.0,0.0,-2.0,0.0,3.0,0.0
2023-01-26,0.0,1.0,0.0,-2.0,0.0,3.0,0.0
2023-01-27,0.0,1.0,0.0,-2.0,0.0,3.0,0.0
2023-01-30,0.0,2.0,0.0,-2.0,0.0,3.0,0.0
2023-01-31,0.0,2.0,0.0,-2.0,0.0,3.0,0.0
2023-02-01,0.0,2.0,0.0,-2.0,0.0,3.0,0.0
2023-02-02,0.0,2.0,0.0,-2.0,0.0,3.0,0.0
2023-02-03,0.0,2.0,0.0,-2.0,0.0,3.0,0.0
2023-02-06,0.0,2.0,0.0,-2.0,-2.0,3.0,0.0
2023-02-07,0.0,2.0,0.0,-2.0,-2.0,3.0,0.0
2023-02-08,0.0,2.0,0.0,-2.0,-2.0,3.0,0.0
2023-02-09,0.0,2.0,0.0,-2.0,-2.0,3.0,0.0
2023-02-10,0.0,2.0,0.0,-2.0,-2.0,3.0,0.0
2023-02-13,0.0,0.0,0.0,2.0,2.0,-3.0,0.0
2023-02-14,0.0,0.0,0.0,2.0,2.0,-3.0,0.0
2023-02-15,0.0,0.0,0.0,2.0,2.0,-3.0,0.0
2023-02-16,0.0,0.0,0.0,2.0,2.0,-3.0,0.0
2023-02-17,0.0,0.0,0.0,2.0,2.0,-3.0,0.0
2023-02-20,5.0,-1.0,0.0,-1.0,-1.0,-2.0,0.0
2023-02-21,5.0,-1.0,0.0,-1.0,-1.0,-2.0,0.0
2023-02-22,5.0,-1.0,0.0,-1.0,-1.0,-2.0,0.0
2023-02-23,5.0,-1.0,0.0,-1.0,-1.0,-2.0,0.0
2023-02-24,5.0,-1.0,0.0,-1.0,-1.0,-2.0,0.0
2023-02-27,0.0,-1.0,0.0,1.0,2.0,3.0,0.0
2023-02-28,0.0,-1.0,0.0,1.0,2.0,3.0,0.0
2023-03-01,0.0,-1.0,0.0,1.0,2.0,3.0,0.0
2023-03-02,0.0,-1.0,0.0,1.0,2.0,3.0,0.0
2023-03-03,0.0,-1.0,0.0,1.0,2.0,3.0,0.0
2023-03-06,7.0,2.0,0.0,2.0,0.0,0.0,0.0
2023-03-07,7.0,2.0,0.0,2.0,0.0,0.0,0.0
2023-03-08,7.0,2.0,0.0,2.0,0.0,0.0,0.0
2023-03-09,7.0,2.0,0.0,2.0,0.0,0.0,0.0
2023-03-10,7.0,2.0,0.0,2.0,0.0,0.0,0.0
2023-03-13,7.0,-2.0,0.0,2.0,0.0,0.0,0.0
2023-03-14,7.0,-2.0,0.0,2.0,0.0,0.0,0.0
2023-03-15,7.0,-2.0,0.0,2.0,0.0,0.0,0.0
2023-03-16,7.0,-2.0,0.0,2.0,0.0,0.0,0.0
2023-03-17,7.0,-2.0,0.0,2.0,0.0,0.0,0.0
2023-03-20,-5.0,-1.0,0.0,1.0,1.0,-3.0,0.0
2023-03-21,-5.0,-1.0,0.0,1.0,1.0,-3.0,0.0
2023-03-22,-5.0,-1.0,0.0,1.0,1.0,-3.0,0.0
